"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"D,7,BB","D","7","BB","Native","12","1","2","Pa2-Pa4","3496.56",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","14","1","4","Pa2-Pha5","3170.01",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","11","1","1","Pha1-Pha2","4733.22",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","32","3","2","Pa4-Pa5","4273.82",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","34","3","4","Pa2-Pha2","4793.48",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","31","3","1","Pha2-Pha5","3416.59",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","33","3","3","Pha5-Pa5","4091.34",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","21","2","1","Pha5-Pha1","3280.02",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","22","2","2","Pa5-Pa2","3400.70",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","24","2","4","Pa4-Pha1","3432.28",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","23","2","3","Pha2-Pa4","5769.02",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","43","4","3","Pha1-Pa4","3631.07",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","44","4","4","Pa5-Pha1","4101.04",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","42","4","2","Pa4-Pa2","3118.79",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","41","4","1","Pha2-Pha1","3179.09",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","13","1","3","Pha1-Pa2","3892.72",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","12","1","2","Pa2-Pa4","3139.76",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","14","1","4","Pa2-Pha5","4832.43",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","11","1","1","Pha1-Pha2","3304.45",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","33","3","3","Pha5-Pa5","4619.88",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","34","3","4","Pa2-Pha2","4213.19",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","32","3","2","Pa4-Pa5","3029.87",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","31","3","1","Pha2-Pha5","3982.95",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","42","4","2","Pa4-Pa2","3721.52",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","44","4","4","Pa5-Pha1","3386.52",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","41","4","1","Pha2-Pha1","3142.57",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","43","4","3","Pha1-Pa4","3097.62",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","21","2","1","Pha5-Pha1","5621.97",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","23","2","3","Pha2-Pa4","3303.66",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","22","2","2","Pa5-Pa2","3991.39",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","24","2","4","Pa4-Pha1","3393.90",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","12","1","2","Pa2-Pa4","3065.43",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","14","1","4","Pa2-Pha5","3231.87",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","11","1","1","Pha1-Pha2","3108.38",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","13","1","3","Pha1-Pa2","3085.47",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","34","3","4","Pa2-Pha2","3094.47",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","32","3","2","Pa4-Pa5","3232.35",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","31","3","1","Pha2-Pha5","3297.07",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","33","3","3","Pha5-Pa5","3207.43",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","12","1","2","Pa2-Pa4","-6436.63",0,"Same","Different","False+"
"C,8,OH","C","8","OH","Native","13","1","3","Pha1-Pa2","3478.32",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","11","1","1","Pha1-Pha2","3204.98",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","14","1","4","Pa2-Pha5","3309.47",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","42","4","2","Pa4-Pa2","3449.06",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","41","4","1","Pha2-Pha1","3234.41",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","43","4","3","Pha1-Pa4","3073.01",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","44","4","4","Pa5-Pha1","4083.03",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","32","3","2","Pa4-Pa5","3109.56",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","34","3","4","Pa2-Pha2","3086.47",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","33","3","3","Pha5-Pa5","3784.52",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","31","3","1","Pha2-Pha5","4848.04",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","24","2","4","Pa4-Pha1","3608.08",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","21","2","1","Pha5-Pha1","4863.56",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","23","2","3","Pha2-Pa4","4181.82",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","22","2","2","Pa5-Pa2","4233.53",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","23","2","3","Pha2-Pa4","5018.99",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","24","2","4","Pa4-Pha1","3480.98",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","21","2","1","Pha5-Pha1","3640.39",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","22","2","2","Pa5-Pa2","3982.54",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","31","3","1","Pha2-Pha5","4065.80",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","34","3","4","Pa2-Pha2","4042.98",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","32","3","2","Pa4-Pa5","3472.71",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","33","3","3","Pha5-Pa5","4225.90",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","42","4","2","Pa4-Pa2","3603.52",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","41","4","1","Pha2-Pha1","4556.02",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","44","4","4","Pa5-Pha1","3458.12",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","43","4","3","Pha1-Pa4","-4149.57",0,"Different","Same","Miss"
"C,6,BS","C","6","BS","Native","12","1","2","Pa2-Pa4","-4391.38",0,"Same","Different","False+"
"C,6,BS","C","6","BS","Native","14","1","4","Pa2-Pha5","4344.39",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","11","1","1","Pha1-Pha2","-4630.00",0,"Same","Different","False+"
"C,6,BS","C","6","BS","Native","13","1","3","Pha1-Pa2","4771.73",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","13","1","3","Pha1-Pa2","3764.94",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","11","1","1","Pha1-Pha2","3321.98",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","12","1","2","Pa2-Pa4","2876.45",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","14","1","4","Pa2-Pha5","3568.65",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","41","4","1","Pha2-Pha1","3422.24",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","42","4","2","Pa4-Pa2","3654.13",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","43","4","3","Pha1-Pa4","3183.04",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","44","4","4","Pa5-Pha1","-4293.97",0,"Different","Same","Miss"
"D,15,VC","D","15","VC","Native","31","3","1","Pha2-Pha5","2769.32",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","33","3","3","Pha5-Pa5","3940.57",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","34","3","4","Pa2-Pha2","5696.37",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","32","3","2","Pa4-Pa5","2980.74",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","22","2","2","Pa5-Pa2","4048.86",1,"Same","Same","CR"
"D,15,VC","D","15","VC","Native","24","2","4","Pa4-Pha1","3473.19",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","23","2","3","Pha2-Pa4","-4372.26",0,"Different","Same","Miss"
"D,15,VC","D","15","VC","Native","21","2","1","Pha5-Pha1","5807.05",1,"Same","Same","CR"
"D,12,JC","D","12","JC","Native","23","2","3","Pha2-Pa4","3280.86",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","Native","21","2","1","Pha5-Pha1","3384.04",1,"Same","Same","CR"
"D,12,JC","D","12","JC","Native","22","2","2","Pa5-Pa2","3382.20",1,"Same","Same","CR"
"D,12,JC","D","12","JC","Native","24","2","4","Pa4-Pha1","3246.64",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","Native","14","1","4","Pa2-Pha5","3947.40",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","Native","13","1","3","Pha1-Pa2","3082.02",1,"Different","Different","Hit"
