"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"D,8,JB","D","8","JB","NonNative","44","4","4","Ba3-Pa4","-3098.22",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","43","4","3","Pa2-Ba3","-3074.74",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","42","4","2","Ba5-Ba3","4179.16",1,"Same","Same","CR"
"D,8,JB","D","8","JB","NonNative","41","4","1","Pa5-Pa4","2997.80",1,"Same","Same","CR"
"D,8,JB","D","8","JB","NonNative","22","2","2","Ba5-Ba2","-3593.36",0,"Same","Different","False+"
"D,8,JB","D","8","JB","NonNative","23","2","3","Pa4-Ba3","-3457.70",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","24","2","4","Ba3-Pa4","-3726.77",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","21","2","1","Pa5-Pa2","3578.44",1,"Same","Same","CR"
"D,8,JB","D","8","JB","NonNative","33","3","3","Pa5-Ba5","-2937.58",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","34","3","4","Ba2-Pa2","-3878.04",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","32","3","2","Ba3-Ba2","-3562.38",0,"Same","Different","False+"
"D,8,JB","D","8","JB","NonNative","31","3","1","Pa4-Pa2","2649.54",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","14","1","4","Ba5-Pa4","3867.90",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","12","1","2","Ba2-Ba3","3835.17",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","11","1","1","Pa2-Pa4","3399.93",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","13","1","3","Pa2-Ba2","3662.95",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","43","4","3","Pa2-Ba3","3832.58",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","42","4","2","Ba5-Ba3","3686.32",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","41","4","1","Pa5-Pa4","5062.25",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","44","4","4","Ba3-Pa4","3233.00",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","31","3","1","Pa4-Pa2","4070.78",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","33","3","3","Pa5-Ba5","3799.65",1,"Different","Different","Hit"
